"ID","Family","Binomial","Ndaphnia","Sex","Site","Collector","Climate","Date","X30m","X60m","X120m","X180m","X240m","nbut","Notes","weight","death.p","Daphnia","time","death"
"329","Lycaenidae","Zizina otis",10,"Male","JCU","MFE","Tropical","17/07/2022",0,0,6,7,7,1,"scales in liquid",0.004,0.7,6,120,1
"329","Lycaenidae","Zizina otis",10,"Male","JCU","MFE","Tropical","17/07/2022",0,0,6,7,7,1,"scales in liquid",0.004,0.7,7,180,1
"329","Lycaenidae","Zizina otis",10,"Male","JCU","MFE","Tropical","17/07/2022",0,0,6,7,7,1,"scales in liquid",0.004,0.7,8,240,0
"329","Lycaenidae","Zizina otis",10,"Male","JCU","MFE","Tropical","17/07/2022",0,0,6,7,7,1,"scales in liquid",0.004,0.7,9,240,0
"329","Lycaenidae","Zizina otis",10,"Male","JCU","MFE","Tropical","17/07/2022",0,0,6,7,7,1,"scales in liquid",0.004,0.7,10,240,0
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,1,180,1
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,2,180,1
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,3,240,1
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,4,240,0
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,5,240,0
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,6,240,0
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,7,240,0
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,8,240,0
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,9,240,0
"3513","Lycaenidae","Zizina otis",10,"Female","AO","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,0.3,10,240,0
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,1,30,1
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,2,30,1
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,3,60,1
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,4,60,1
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,5,60,1
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,6,60,1
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,7,120,1
